ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,covid_period,covid_period_lower,covid_period_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,gdp_growth,gdp_growth_lower,gdp_growth_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,108997.31646336,-52238.168355529444,30871.373940770773,108997.31646336,108997.31646336,-118539.85698941445,-118539.85698941445,-118539.85698941445,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322284332,-123371.77322284332,-123371.77322284332,0.0,0.0,0.0,-9542.54052605445
2002-01-01,119093.2946500635,-50209.65211965335,36284.39733296763,119093.2946500635,119093.2946500635,-124690.94274403865,-124690.94274403865,-124690.94274403865,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897746752,-129522.85897746752,-129522.85897746752,0.0,0.0,0.0,-5597.648093975149
2003-01-01,129189.27237711386,-44409.23673112975,42605.66966953864,129189.27237711386,129189.27237711386,-128483.66411376752,-128483.66411376752,-128483.66411376752,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719637,-133315.58034719637,-133315.58034719637,0.0,0.0,0.0,705.6082633463375
2004-01-01,139285.24889754588,-28930.979631388127,51825.35057489847,139285.24889754588,139285.24889754588,-129913.60938644539,-129913.60938644539,-129913.60938644539,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987427,-134745.52561987427,-134745.52561987427,0.0,0.0,0.0,9371.639511100497
2005-01-01,149411.4240145858,-8716.058363573624,73901.91421949188,149411.4240145858,149411.4240145858,-118539.85698943488,-118539.85698943488,-118539.85698943488,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286375,-123371.77322286375,-123371.77322286375,0.0,0.0,0.0,30871.567025150915
2006-01-01,159519.19420299397,-7756.675599351261,75800.09081755382,159519.19420299397,159519.19420299397,-124690.94274401807,-124690.94274401807,-124690.94274401807,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897744694,-129522.85897744694,-129522.85897744694,0.0,0.0,0.0,34828.251458975894
2007-01-01,169627.1281391711,1547.6613118909806,80685.35717711785,169627.1281391711,169627.1281391711,-128483.66411375171,-128483.66411375171,-128483.66411375171,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034718057,-133315.58034718057,-133315.58034718057,0.0,0.0,0.0,41143.464025419395
2008-01-01,179744.33095703914,8586.407078906961,90914.17854222882,179744.33095703914,179744.33095703914,-129913.60938643545,-129913.60938643545,-129913.60938643545,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561986432,-134745.52561986432,-134745.52561986432,0.0,0.0,0.0,49830.721570603695
2009-01-01,193547.83416273585,31581.233681012513,114617.24011844785,193547.83416273585,193547.83416273585,-118539.85698938447,-118539.85698938447,-118539.85698938447,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322281334,-123371.77322281334,-123371.77322281334,0.0,0.0,0.0,75007.97717335138
2010-01-01,207326.8080594551,40482.03653900746,119243.0014987161,207326.8080594551,207326.8080594551,-124690.94274402734,-124690.94274402734,-124690.94274402734,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745621,-129522.85897745621,-129522.85897745621,0.0,0.0,0.0,82635.86531542776
2011-01-01,221113.31693251434,50838.57541752298,136972.68706127635,221113.31693251434,221113.31693251434,-128483.66411376152,-128483.66411376152,-128483.66411376152,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034719038,-133315.58034719038,-133315.58034719038,0.0,0.0,0.0,92629.65281875282
2012-01-01,234899.8263563145,63636.67193448776,143285.00544761267,234899.8263563145,234899.8263563145,-129913.60938644063,-129913.60938644063,-129913.60938644063,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.5256198695,-134745.5256198695,-134745.5256198695,0.0,0.0,0.0,104986.21696987387
2013-01-01,248732.61834449955,87944.34975107024,171838.64779398654,248732.61834449955,248732.61834449955,-118539.85698943706,-118539.85698943706,-118539.85698943706,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.77322286593,-123371.77322286593,-123371.77322286593,0.0,0.0,0.0,130192.7613550625
2014-01-01,262544.48398911254,98451.67048334093,183061.27037920133,262544.48398911254,262544.48398911254,-124690.94274406004,-124690.94274406004,-124690.94274406004,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897748891,-129522.85897748891,-129522.85897748891,0.0,0.0,0.0,137853.5412450525
2015-01-01,276364.46755909163,110683.07744139717,190203.49474328576,276364.46755909163,276364.46755909163,-128483.66411374572,-128483.66411374572,-128483.66411374572,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133315.58034717457,-133315.58034717457,-133315.58034717457,0.0,0.0,0.0,147880.8034453459
2016-01-01,290184.4511290708,115246.00441520965,204398.95321226245,290184.4511290708,290184.4511290708,-129913.60938644675,-129913.60938644675,-129913.60938644675,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-134745.52561987564,-134745.52561987564,-134745.52561987564,0.0,0.0,0.0,160270.841742624
2017-01-01,304042.29766773485,143424.41520415834,228215.0857048485,304042.29766773485,304042.29766773485,-118539.85698938584,-118539.85698938584,-118539.85698938584,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-123371.7732228147,-123371.7732228147,-123371.7732228147,0.0,0.0,0.0,185502.440678349
2018-01-01,317862.28123771393,151858.54802784201,236372.46099938353,317862.28123771393,317862.28123771393,-124690.94274402435,-124690.94274402435,-124690.94274402435,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-129522.85897745322,-129522.85897745322,-129522.85897745322,0.0,0.0,0.0,193171.3384936896
2018-12-31,331644.40183900826,169265.36042518087,251588.26498743892,331442.4248939992,331835.5092330637,-120044.42662501773,-120044.42662501773,-120044.42662501773,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.3428584466,-124876.3428584466,-124876.3428584466,0.0,0.0,0.0,211599.97521399055
2019-12-31,345464.3854089874,194853.72350409444,274665.12214335025,344813.17385953094,346096.79390578275,-112061.45329809585,-112061.45329809585,-112061.45329809585,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953152472,-116893.36953152472,-116893.36953152472,0.0,0.0,0.0,233402.93211089156
2020-12-31,359322.2319476514,185479.88449529398,270750.9615314682,358109.080071349,360479.63703416206,-128980.48460384828,-128980.48460384828,-128980.48460384828,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.40083727715,-133812.40083727715,-133812.40083727715,0.0,0.0,0.0,230341.74734380314
2021-12-31,373142.21551763057,207462.14945063135,287103.99423837545,371230.5037182897,375049.9304196892,-125688.11285103516,-125688.11285103516,-125688.11285103516,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-130520.02908446403,-130520.02908446403,-130520.02908446403,0.0,0.0,0.0,247454.10266659543
2022-12-31,386962.19908760965,224254.6197089418,304057.99832407694,384168.3531783749,389606.742550791,-120044.42662501827,-120044.42662501827,-120044.42662501827,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.34285844714,-124876.34285844714,-124876.34285844714,0.0,0.0,0.0,266917.7724625914
2023-12-31,400782.1826575888,248411.75886452806,329382.6857334587,397042.381243543,404264.38972690864,-112061.45329801628,-112061.45329801628,-112061.45329801628,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953144515,-116893.36953144515,-116893.36953144515,0.0,0.0,0.0,288720.7293595725
2024-12-31,414640.0291962528,243567.64758379685,326901.2718193388,409906.9329335947,419120.4539132315,-128980.48460388233,-128980.48460388233,-128980.48460388233,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.4008373112,-133812.4008373112,-133812.4008373112,0.0,0.0,0.0,285659.5445923705
2025-12-31,428460.01276623196,263149.9935080794,341443.73215088557,422762.8465716151,433941.649963033,-125688.11285101117,-125688.11285101117,-125688.11285101117,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-130520.02908444004,-130520.02908444004,-130520.02908444004,0.0,0.0,0.0,302771.8999152208
2026-12-31,442279.99633621104,281600.34405138786,365120.1639966746,435551.7186020457,448948.007020334,-120044.42662505001,-120044.42662505001,-120044.42662505001,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.34285847888,-124876.34285847888,-124876.34285847888,0.0,0.0,0.0,322235.569711161
2027-12-31,456099.97990619024,303090.7591159759,386033.001742747,448202.485349276,463798.0761267867,-112061.4532981269,-112061.4532981269,-112061.4532981269,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953155577,-116893.36953155577,-116893.36953155577,0.0,0.0,0.0,344038.5266080634
2028-12-31,469957.82644485426,299040.60368574114,379359.4747846033,461124.0333764884,478932.0234096675,-128980.48460387565,-128980.48460387565,-128980.48460387565,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.40083730454,-133812.40083730454,-133812.40083730454,0.0,0.0,0.0,340977.3418409786
2029-12-31,483777.8100148334,315196.64247498283,400850.7004353474,473853.4784429046,494132.0599880406,-125688.11285096676,-125688.11285096676,-125688.11285096676,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-130520.02908439563,-130520.02908439563,-130520.02908439563,0.0,0.0,0.0,358089.69716386666
2030-12-31,497597.79358481255,334146.6616193586,419879.1115621316,486369.74745503895,509403.56659845426,-120044.42662500546,-120044.42662500546,-120044.42662500546,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-124876.34285843433,-124876.34285843433,-124876.34285843433,0.0,0.0,0.0,377553.3669598071
2031-12-31,511417.7771547917,357022.3641742303,442595.29678051756,498770.55845139135,524611.2233428543,-112061.45329793822,-112061.45329793822,-112061.45329793822,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-116893.36953136709,-116893.36953136709,-116893.36953136709,0.0,0.0,0.0,399356.3238568535
2032-12-31,525275.6236934557,347982.70705106587,442857.0055810451,511092.7949207773,540036.6749748866,-128980.48460382913,-128980.48460382913,-128980.48460382913,0.0,0.0,0.0,4831.916233428878,4831.916233428878,4831.916233428878,39.59610076406731,39.59610076406731,39.59610076406731,4792.32013266481,4792.32013266481,4792.32013266481,-133812.400837258,-133812.400837258,-133812.400837258,0.0,0.0,0.0,396295.1390896266
